Position, Error, Repetition
-4.896179, 0.02655029 , 2.371606 0.05090734 0
-4.908844, 0.03384399 , 2.345994 0.3149441 0
-5.059143, 0.03417969 , 1.998877 0.1816311 1
-5.070709, 0.03555298 , 1.969272 0.104833 1
-4.881866, 0.03015137 , 2.401848 0.08153892 1
-4.833069, 0.02224731 , 2.498926 0.108648 1
-4.617004, 0.007263184 , 2.880803 0.03967649 1
-4.446014, 0.005889893 , 3.139759 0.06730445 1
-4.321381, 0.00579834 , 3.311535 0.03139666 1
-4.203827, 0.005767822 , 3.461028 0.03958233 1
-4.10553, 0.004364014 , 3.578271 0.0989052 1
-3.869873, -0.002441406 , 3.834543 0.03354251 1
-3.741547, 0.001098633 , 3.961576 0.008668914 1
-3.628052, 0.01400757 , 4.067574 0.0451064 1
-3.495789, 0.02127075 , 4.183563 0.07572431 1
-3.291077, 0.01330566 , 4.34873 0.01824493 1
-3.158051, -0.002807617 , 4.447399 0.01128888 1
-3.049011, -0.00289917 , 4.524161 0.05158845 1
-2.901062, 0.006317139 , 4.622414 0.05437389 1
-2.65802, 0.006225586 , 4.769223 0.0515273 1
-2.535858, 0.006134033 , 4.836736 0.02275292 1
-2.395081, 0.00604248 , 4.909638 0.01239396 1
-2.236206, -3.051758E-05 , 4.985745 0.02920786 1
-2.113159, -0.002197266 , 5.040576 0.02452317 1
-2.073761, -0.002655029 , 5.057231 0.125866 1
-1.782562, 0.003692627 , 5.168268 0.03341867 1
-1.600464, 0.006713867 , 5.228354 0.05747076 1
-1.491455, 0.00668335 , 5.260945 0.02358811 1
-1.345825, 0.006652832 , 5.30073 0.02216762 1
-1.207947, 0.006622314 , 5.334498 0.01781023 1
-1.097656, 0.006591797 , 5.358835 0.04812413 1
-0.9049988, -0.001525879 , 5.395497 0.01635481 1
-0.750824, -0.002960205 , 5.419933 0.0201682 1
-0.5797424, -0.001678467 , 5.441922 0.02989592 1
-0.4969482, -0.001678467 , 5.450604 0.04816024 1
-0.3439331, -0.001739502 , 5.463343 0.04402988 1
-0.1416626, -0.001831055 , 5.473642 0.009280806 1
-0.01254272, -0.001861572 , 5.476342 0.01319716 1
0.1693115, -0.001953125 , 5.475033 0.01950944 1
0.2670288, -0.001983643 , 5.471862 0.03359625 1
0.4901123, -0.002105713 , 5.458097 0.04162097 1
0.6014099, -0.00213623 , 5.447887 0.008506632 1
0.67276, 0.004516602 , 5.440288 0.03274204 1
############################### END OF PROGRAM ###############################
Name: Juan Martinez
Age: 22
Test: 0
Hololens: N
Markers: 4
Position, Error, Repetition
0.3440247, 0 , 5.412934 0.3610948 0
0.5303955, -3.051758E-05 , 5.398189 0.09048167 0
0.6043701, -6.103516E-05 , 5.390589 0.1731428 0
0.2628784, -3.051758E-05 , 5.417352 0.07110729 0
0.2322998, -3.051758E-05 , 5.41872 0.1008455 0
0.0697937, 0 , 5.422976 0.09012712 0
-0.1623535, -0.004974365 , 5.420721 0.05104652 0
-0.3164063, -0.005279541 , 5.413826 0.05022417 0
-0.4396667, -0.005279541 , 5.405195 0.03668821 0
-0.5980835, -0.005279541 , 5.38997 0.03055098 0
-0.738678, -0.005279541 , 5.372546 0.03016297 0
-1.084351, -0.005279541 , 5.313801 0.1959474 0
-1.206573, -0.006530762 , 5.287637 0.1726105 0
-1.291321, -0.00793457 , 5.267668 0.1055515 0
-1.450958, -0.01461792 , 5.226053 0.1153972 0
-1.574036, -0.01461792 , 5.190562 0.09021657 0
-1.72876, -0.01464844 , 5.141545 0.0991696 0
-1.806854, -0.01464844 , 5.114863 0.0298898 0
############################### END OF PROGRAM ###############################
0.3631009
0.08416
0.07870972
0.08437473
0.05992083
0.06916203
0.05727757
0.08364568
0.04802338
0.05776069
0.04996106
0.04453167
0.06889109
0.03526644
0.04760787
0.06914798
0.03671662
0.05190235
0.02195481
0.02046355
0.08955254
0.1180212
0.05227859
0.04354922
0.07907233
0.02762753
0.02537731
0.03511481
0.04789434
0.04692394
0.06543247
0.08637178
0.07137293
0.04352605
0.08899433
0.07182108
0.04257097
0.140654
0.2092717
0.1304368
0.08581647
0.15511
0.1191334
0.112372
0.1463419
0.07404558
0.0488904
0.07920304
0.03431222
0.03520478
0.03451568
0.02833181
0.04219838
0.03438217
0.04267318
0.01574237
0.05923387
0.0773528
0.08633775
0.07282411
0.03124307
0.04211235
0.04597956
0.01838206
0.02719088
0.01099571
0.02567193
0.01257316
0.02256316
0.01078764
0.09111141
0.01454343
0.0283419
0.1634934
0.05526536
0.1162771
0.04754736
0.04859106
0.0429115
0.04884639
0.04481598
0.1120973
0.03385049
0.04947257
0.1274295
0.1302899
0.04064863
0.02231231
0.07999593
0.0543147
0.09892438
0.04737642
0.01343236
0.04648636
0.01520737
0.04995326
0.07398869
0.03482445
0.01219264
0.01230658
0.02290655
0.01437655
0.06913986
0.01012411
0.06519368
0.1096614
0.1060361
0.06894886
0.02545016
0.1033586
0.04848442
0.1240382
0.01479234
0.05641744
0.1037772
0.1864235
0.2758188
0.1684134
0.333185
0.1008574
0.1324331
0.08651016
0.008478074
0.02888184
0.06468584
0.07117518
